Clock_Round,Service_Area,Band,Bidder,Last Bid Submitted at start of Clock Round (Rs. Crore),Provisionally Allocated Block(s) at start of Clock Round (In No.),Rank at start of Clock Round,bid_decision,No. of Block(s) Selecte d,prov_win_bid,Provisionall y Allocated Block(s) at end of Clock Round,prov_rank
4,Maharashtra,700,Idea,0,0,0,0  no,0,0,0,0
4,Maharashtra,700,RCL,0,0,0,0  no,0,0,0,0
4,Maharashtra,700,Jio,0,0,0,0  no,0,0,0,0
4,Maharashtra,700,Tata Tele,0,0,0,0  no,0,0,0,0
4,Maharashtra,700,Vodafone,0,0,0,0  no,0,0,0,0
4,Maharashtra,800,Aircel,0,0,0,0  no,0,0,0,0
4,Maharashtra,800,Bharti,0,0,0,0  no,0,0,0,0
4,Maharashtra,800,Idea,0,0,0,0  no,0,0,0,0
4,Maharashtra,800,RCL,0,0,0,0  no,0,0,0,0
4,Maharashtra,800,Jio,0,0,0,0  no,0,0,0,0
4,Maharashtra,800,Tata Tele,0,0,0,0  no,0,0,0,0
4,Maharashtra,800,Vodafone,0,0,0,0  no,0,0,0,0
4,Maharashtra,1800,Aircel,0,0,0,0  no,0,0,0,0
4,Maharashtra,1800,Bharti,0,0,0,Bid,15,63.6,15,3
4,Maharashtra,1800,Idea,63.6,10,0,2  no,0,63.6,10,2
4,Maharashtra,1800,RCL,0,0,0,0  no,0,0,0,0
4,Maharashtra,1800,Jio,0,0,0,0  no,0,0,0,0
4,Maharashtra,1800,Tata Tele,63.6,25,0,1  no,0,63.6,25,1
4,Maharashtra,1800,Vodafone,0,0,0,0  no,0,0,0,0
4,Maharashtra,2100,Aircel,0,0,0,0  no,0,0,0,0
4,Maharashtra,2100,Bharti,0,0,0,0  no,0,0,0,0
4,Maharashtra,2100,Idea,0,0,0,0  no,0,0,0,0
4,Maharashtra,2100,RCL,0,0,0,0  no,0,0,0,0
4,Maharashtra,2100,Jio,0,0,0,0  no,0,0,0,0
4,Maharashtra,2100,Tata Tele,0,0,0,0  no,0,0,0,0
4,Maharashtra,2100,Vodafone,0,0,0,0  no,0,0,0,0
4,Maharashtra,2300,Aircel,0,0,0,0  no,0,0,0,0
4,Maharashtra,2300,Bharti,0,0,0,Bid,1,615.1,1,1
4,Maharashtra,2300,Idea,612.04,2,0,1  no,0,0,0,0
4,Maharashtra,2300,RCL,0,0,0,0  no,0,0,0,0
4,Maharashtra,2300,Jio,0,0,0,Bid,1,615.1,1,2
4,Maharashtra,2300,Tata Tele,0,0,0,0  no,0,0,0,0
4,Maharashtra,2300,Vodafone,0,0,0,0  no,0,0,0,0
4,Maharashtra,2500,Aircel,0,0,0,0  no,0,0,0,0
4,Maharashtra,2500,Bharti,0,0,0,0  no,0,0,0,0
4,Maharashtra,2500,Idea,0,0,0,0  no,0,0,0,0
4,Maharashtra,2500,RCL,0,0,0,0  no,0,0,0,0
4,Maharashtra,2500,Jio,0,0,0,0  no,0,0,0,0
4,Maharashtra,2500,Tata Tele,0,0,0,0  no,0,0,0,0
4,Maharashtra,2500,Vodafone,580,2,0,1  no,0,580,2,1
4,Mumbai,700,Aircel,0,0,0,0  no,0,0,0,0
4,Mumbai,700,Bharti,0,0,0,0  no,0,0,0,0
4,Mumbai,700,Idea,0,0,0,0  no,0,0,0,0
4,Mumbai,700,RCL,0,0,0,0  no,0,0,0,0
4,Mumbai,700,Jio,0,0,0,0  no,0,0,0,0
4,Mumbai,700,Tata Tele,0,0,0,0  no,0,0,0,0
4,Mumbai,700,Vodafone,0,0,0,0  no,0,0,0,0
4,Mumbai,800,Aircel,0,0,0,0  no,0,0,0,0
4,Mumbai,800,Bharti,0,0,0,0  no,0,0,0,0
4,Mumbai,800,Idea,0,0,0,0  no,0,0,0,0
4,Mumbai,800,RCL,0,0,0,0  no,0,0,0,0
4,Mumbai,800,Jio,0,0,0,0  no,0,0,0,0
4,Mumbai,800,Tata Tele,0,0,0,0  no,0,0,0,0
4,Mumbai,800,Vodafone,0,0,0,0  no,0,0,0,0
4,Mumbai,1800,Aircel,0,0,0,0  no,0,0,0,0
4,Mumbai,1800,Bharti,0,0,0,0  no,0,0,0,0
4,Mumbai,1800,Idea,65.38,0,0,Bid,25,67.66,22,2
4,Mumbai,1800,RCL,0,0,0,0  no,0,0,0,0
4,Mumbai,1800,Jio,0,0,0,Bid,25,67.66,0,0
4,Mumbai,1800,Tata Tele,65.38,25,0,1  no,0,0,0,0
4,Mumbai,1800,Vodafone,65.38,0,0,Bid,3,67.66,3,1
4,Mumbai,2100,Aircel,0,0,0,0  no,0,0,0,0
4,Mumbai,2100,Bharti,0,0,0,0  no,0,0,0,0
4,Mumbai,2100,Idea,0,0,0,0  no,0,0,0,0
4,Mumbai,2100,RCL,0,0,0,0  no,0,0,0,0
4,Mumbai,2100,Jio,0,0,0,0  no,0,0,0,0
4,Mumbai,2100,Tata Tele,0,0,0,0  no,0,0,0,0
4,Mumbai,2100,Vodafone,0,0,0,0  no,0,0,0,0
4,Mumbai,2300,Aircel,0,0,0,0  no,0,0,0,0
4,Mumbai,2300,Bharti,1460,1,0,1  no,0,1460,1,1
4,Mumbai,2300,Idea,0,0,0,0  no,0,0,0,0
4,Mumbai,2300,RCL,0,0,0,0  no,0,0,0,0
4,Mumbai,2300,Jio,1460,1,0,2  no,0,1460,1,2
4,Mumbai,2300,Tata Tele,0,0,0,0  no,0,0,0,0
4,Mumbai,2300,Vodafone,0,0,0,0  no,0,0,0,0
4,Mumbai,2500,Aircel,0,0,0,0  no,0,0,0,0
4,Mumbai,2500,Bharti,0,0,0,0  no,0,0,0,0
4,Mumbai,2500,Idea,0,0,0,0  no,0,0,0,0
4,Mumbai,2500,RCL,0,0,0,0  no,0,0,0,0
4,Mumbai,2500,Jio,0,0,0,0  no,0,0,0,0
4,Mumbai,2500,Tata Tele,0,0,0,0  no,0,0,0,0
4,Mumbai,2500,Vodafone,1460,2,0,1  no,0,1460,2,1
4,North East,700,Aircel,0,0,0,0  no,0,0,0,0
4,North East,700,Bharti,0,0,0,0  no,0,0,0,0
4,North East,700,Idea,0,0,0,0  no,0,0,0,0
4,North East,700,RCL,0,0,0,0  no,0,0,0,0
4,North East,700,Jio,0,0,0,0  no,0,0,0,0
4,North East,700,Tata Tele,0,0,0,0  no,0,0,0,0
4,North East,700,Vodafone,0,0,0,0  no,0,0,0,0
4,North East,1800,Aircel,0,0,0,0  no,0,0,0,0
4,North East,1800,Bharti,2.2,7,0,2  no,0,2.2,7,2
4,North East,1800,Idea,0,0,0,0  no,0,0,0,0
4,North East,1800,RCL,0,0,0,0  no,0,0,0,0
4,North East,1800,Jio,0,0,0,0  no,0,0,0,0
4,North East,1800,Tata Tele,0,0,0,0  no,0,0,0,0
4,North East,1800,Vodafone,2.2,25,0,1  no,0,2.2,25,1
4,North East,2100,Aircel,0,0,0,0  no,0,0,0,0
4,North East,2100,Bharti,0,0,0,0  no,0,0,0,0
4,North East,2100,Idea,0,0,0,0  no,0,0,0,0
4,North East,2100,RCL,0,0,0,0  no,0,0,0,0
4,North East,2100,Jio,0,0,0,0  no,0,0,0,0
4,North East,2100,Tata Tele,0,0,0,0  no,0,0,0,0
4,North East,2100,Vodafone,0,0,0,0  no,0,0,0,0
4,North East,2300,Aircel,0,0,0,0  no,0,0,0,0
4,North East,2300,Bharti,0,0,0,Bid,1,10,1,2
4,North East,2300,Idea,0,0,0,0  no,0,0,0,0
4,North East,2300,RCL,0,0,0,0  no,0,0,0,0
4,North East,2300,Jio,10,1,0,1  no,0,10,1,1
4,North East,2300,Tata Tele,0,0,0,0  no,0,0,0,0
4,North East,2300,Vodafone,0,0,0,0  no,0,0,0,0
4,North East,2500,Aircel,0,0,0,0  no,0,0,0,0
4,North East,2500,Bharti,0,0,0,0  no,0,0,0,0
4,North East,2500,Idea,0,0,0,0  no,0,0,0,0
4,North East,2500,RCL,0,0,0,0  no,0,0,0,0
4,North East,2500,Jio,0,0,0,0  no,0,0,0,0
4,North East,2500,Tata Tele,0,0,0,0  no,0,0,0,0
4,North East,2500,Vodafone,0,0,0,0  no,0,0,0,0
4,Odisha,700,Aircel,0,0,0,0  no,0,0,0,0
4,Odisha,700,Bharti,0,0,0,0  no,0,0,0,0
4,Odisha,700,Idea,0,0,0,0  no,0,0,0,0
4,Odisha,700,RCL,0,0,0,0  no,0,0,0,0
