Clock_Round,Service_Area,Band,Bidder,bid_decision,No of block(s ) selecte d,prov_win_bid,Provisi onally Allocat ed Block( s) at end of clock round,prov_rank
2,Himachal Pradesh,700,Jio,No,0,0,0,0
2,Himachal Pradesh,700,Vodafone,No,0,0,0,0
2,Himachal Pradesh,800,Bharti,No,0,0,0,0
2,Himachal Pradesh,800,Jio,No,0,30,4,1
2,Himachal Pradesh,800,Vodafone,No,0,0,0,0
2,Himachal Pradesh,900,Bharti,No,0,7.4,13,1
2,Himachal Pradesh,900,Jio,No,0,0,0,0
2,Himachal Pradesh,900,Vodafone,No,0,0,0,0
2,Himachal Pradesh,1800,Bharti,No,0,3.6,24,1
2,Himachal Pradesh,1800,Jio,No,0,0,0,0
2,Himachal Pradesh,1800,Vodafone,No,0,0,0,0
2,Himachal Pradesh,2100,Bharti,No,0,0,0,0
2,Himachal Pradesh,2100,Jio,No,0,0,0,0
2,Himachal Pradesh,2100,Vodafone,No,0,0,0,0
2,Himachal Pradesh,2300,Bharti,No,0,10,1,2
2,Himachal Pradesh,2300,Jio,No,0,10,1,1
2,Himachal Pradesh,2300,Vodafone,No,0,0,0,0
2,Himachal Pradesh,2500,Bharti,No,0,0,0,0
2,Himachal Pradesh,2500,Jio,No,0,0,0,0
2,Himachal Pradesh,2500,Vodafone,No,0,0,0,0
2,Jammu & Kashmir,700,Bharti,No,0,0,0,0
2,Jammu & Kashmir,700,Jio,No,0,0,0,0
2,Jammu & Kashmir,700,Vodafone,No,0,0,0,0
2,Jammu & Kashmir,800,Bharti,No,0,0,0,0
2,Jammu & Kashmir,800,Jio,No,0,0,0,0
2,Jammu & Kashmir,800,Vodafone,No,0,0,0,0
2,Jammu & Kashmir,1800,Bharti,No,0,3.4,50,1
2,Jammu & Kashmir,1800,Jio,No,0,0,0,0
2,Jammu & Kashmir,1800,Vodafone,No,0,0,0,0
2,Jammu & Kashmir,2100,Bharti,No,0,0,0,0
2,Jammu & Kashmir,2100,Jio,No,0,0,0,0
2,Jammu & Kashmir,2100,Vodafone,No,0,0,0,0
2,Jammu & Kashmir,2300,Bharti,No,0,10,2,2
2,Jammu & Kashmir,2300,Jio,No,0,10,2,1
2,Jammu & Kashmir,2300,Vodafone,No,0,0,0,0
2,Jammu & Kashmir,2500,Bharti,No,0,0,0,0
2,Jammu & Kashmir,2500,Jio,No,0,0,0,0
2,Jammu & Kashmir,2500,Vodafone,No,0,0,0,0
2,Karnataka,700,Bharti,No,0,0,0,0
2,Karnataka,700,Jio,No,0,0,0,0
2,Karnataka,700,Vodafone,No,0,0,0,0
2,Karnataka,800,Bharti,No,0,0,0,0
