Clock_Round,Service_Area,Band,Bidder,bid_decision,No of block( s) selecte d,prov_win_bid,Provisi onally Alloca ted Block( s) at end of clock round,prov_rank
1,Haryana,3300,Adani,No,0,0,0,0
1,Haryana,3300,Bharti,Bid,10,60,10,2
1,Haryana,3300,Jio,Bid,10,60,10,1
1,Haryana,3300,Vodafone,Bid,5,60,5,3
1,Himachal Pradesh,26,Adani,No,0,0,0,0
1,Himachal Pradesh,26,Bharti,Bid,16,2.5,16,2
1,Himachal Pradesh,26,Jio,Bid,20,2.5,20,1
1,Himachal Pradesh,26,Vodafone,No,0,0,0,0
1,Himachal Pradesh,600,Adani,No,0,0,0,0
1,Himachal Pradesh,600,Bharti,No,0,0,0,0
1,Andhra Pradesh,700,Jio,Bid,2,1590,2,1
1,Andhra Pradesh,700,Vodafone,No,0,0,0,0
1,Andhra Pradesh,800,Adani,No,0,0,0,0
1,Andhra Pradesh,800,Bharti,No,0,0,0,0
1,Andhra Pradesh,800,Jio,No,0,0,0,0
1,Andhra Pradesh,800,Vodafone,No,0,0,0,0
1,Andhra Pradesh,900,Adani,No,0,0,0,0
1,Andhra Pradesh,900,Bharti,No,0,0,0,0
1,Andhra Pradesh,900,Jio,No,0,0,0,0
1,Andhra Pradesh,900,Vodafone,No,0,0,0,0
1,Andhra Pradesh,1800,Adani,No,0,0,0,0
1,Himachal Pradesh,600,Jio,No,0,0,0,0
1,Himachal Pradesh,600,Vodafone,No,0,0,0,0
1,Himachal Pradesh,700,Adani,No,0,0,0,0
1,Himachal Pradesh,700,Bharti,No,0,0,0,0
1,Himachal Pradesh,700,Jio,Bid,2,130,2,1
1,Himachal Pradesh,700,Vodafone,No,0,0,0,0
1,Himachal Pradesh,800,Adani,No,0,0,0,0
1,Himachal Pradesh,800,Bharti,No,0,0,0,0
1,Himachal Pradesh,800,Jio,No,0,0,0,0
1,Himachal Pradesh,800,Vodafone,No,0,0,0,0
1,Himachal Pradesh,900,Adani,No,0,0,0,0
1,Himachal Pradesh,900,Bharti,No,0,0,0,0
1,Himachal Pradesh,900,Jio,No,0,0,0,0
1,Himachal Pradesh,900,Vodafone,No,0,0,0,0
1,Himachal Pradesh,1800,Adani,No,0,0,0,0
1,Himachal Pradesh,1800,Bharti,Bid,25,2.8,25,1
1,Himachal Pradesh,1800,Jio,No,0,0,0,0
1,Himachal Pradesh,1800,Vodafone,No,0,0,0,0
1,Himachal Pradesh,2100,Adani,No,0,0,0,0
1,Himachal Pradesh,2100,Bharti,No,0,0,0,0
1,Himachal Pradesh,2100,Jio,No,0,0,0,0
1,Himachal Pradesh,2100,Vodafone,No,0,0,0,0
1,Himachal Pradesh,2500,Adani,No,0,0,0,0
1,Himachal Pradesh,2500,Bharti,No,0,0,0,0
1,Himachal Pradesh,2500,Jio,No,0,0,0,0
1,Himachal Pradesh,2500,Vodafone,No,0,0,0,0
1,Himachal Pradesh,3300,Adani,No,0,0,0,0
1,Himachal Pradesh,3300,Bharti,Bid,10,20,10,2
1,Himachal Pradesh,3300,Jio,Bid,10,20,10,1
1,Himachal Pradesh,3300,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,26,Adani,No,0,0,0,0
1,Jammu & Kashmir,26,Bharti,Bid,16,1.5,16,2
1,Jammu & Kashmir,26,Jio,Bid,20,1.5,20,1
1,Jammu & Kashmir,26,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,600,Adani,No,0,0,0,0
1,Jammu & Kashmir,600,Bharti,No,0,0,0,0
1,Jammu & Kashmir,600,Jio,No,0,0,0,0
1,Jammu & Kashmir,600,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,700,Adani,No,0,0,0,0
1,Jammu & Kashmir,700,Bharti,No,0,0,0,0
1,Jammu & Kashmir,700,Jio,Bid,2,80,2,1
1,Jammu & Kashmir,700,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,800,Adani,No,0,0,0,0
1,Jammu & Kashmir,800,Bharti,No,0,0,0,0
1,Jammu & Kashmir,800,Jio,Bid,4,17.5,4,1
1,Jammu & Kashmir,800,Vodafone,No,0,0,0,0
