Clock_Round,Service_Area,Band,Bidder,bid_decision,No. of Block(s) Selected,prov_win_bid,Provisionally Allocated Block(s) at end of Clock Round,prov_rank
1,Gujarat,800,RCL,no,0,0,0,0
1,Gujarat,800,Telewings,no,0,0,0,0
1,Gujarat,800,Bharti,no,0,0,0,0
1,Gujarat,800,Jio,no,0,0,0,0
1,Gujarat,900,Vodafone,Bid,45,84.8,45,1
1,Gujarat,900,Aircel,no,0,0,0,0
1,Gujarat,900,Idea,Bid,25,84.8,0,0
1,Gujarat,900, Tata Tele,Bid,25,84.8,0,0
1,Gujarat,900,RCL,Bid,31,84.8,25,2
1,Gujarat,900,Telewings,no,0,0,0,0
1,Gujarat,900,Bharti,no,0,0,0,0
1,Gujarat,900,Jio,Bid,25,84.8,0,0
1,Gujarat,1800,Vodafone,no,0,0,0,0
1,Gujarat,1800,Aircel,no,0,0,0,0
1,Gujarat,1800,Idea,no,0,0,0,0
1,Gujarat,1800, Tata Tele,no,0,0,0,0
1,Gujarat,1800,RCL,no,0,0,0,0
1,Gujarat,1800,Telewings,no,0,0,0,0
1,Gujarat,1800,Bharti,no,0,0,0,0
1,Gujarat,1800,Jio,no,0,0,0,0
1,Gujarat,2100,Vodafone,no,0,0,0,0
1,Gujarat,2100,Aircel,no,0,0,0,0
1,Gujarat,2100,Idea,no,0,0,0,0
1,Gujarat,2100, Tata Tele,no,0,0,0,0
1,Gujarat,2100,RCL,no,0,0,0,0
1,Gujarat,2100,Telewings,no,0,0,0,0
1,Gujarat,2100,Bharti,Bid,1,1290,1,1
1,Gujarat,2100,Jio,no,0,0,0,0
1,Haryana,800,Vodafone,no,0,0,0,0
1,Haryana,800,Aircel,no,0,0,0,0
1,Haryana,800,Idea,no,0,0,0,0
1,Haryana,800, Tata Tele,no,0,0,0,0
1,Haryana,800,RCL,no,0,0,0,0
1,Haryana,800,Telewings,no,0,0,0,0
1,Haryana,800,Bharti,Bid,4,47.5,4,1
1,Haryana,800,Jio,no,0,0,0,0
1,Haryana,900,Vodafone,Bid,37,15.2,37,1
1,Haryana,900,Aircel,no,0,0,0,0
1,Haryana,900,Idea,Bid,25,15.2,25,2
1,Haryana,900, Tata Tele,no,0,0,0,0
1,Haryana,900,RCL,no,0,0,0,0
1,Haryana,900,Telewings,no,0,0,0,0
1,Haryana,900,Bharti,no,0,0,0,0
1,Haryana,900,Jio,Bid,25,15.2,0,0
1,Haryana,1800,Vodafone,no,0,0,0,0
1,Haryana,1800,Aircel,no,0,0,0,0
1,Haryana,1800,Idea,no,0,0,0,0
1,Haryana,1800, Tata Tele,no,0,0,0,0
1,Haryana,1800,RCL,no,0,0,0,0
1,Haryana,1800,Telewings,no,0,0,0,0
1,Haryana,1800,Bharti,Bid,25,6.4,25,1
1,Haryana,1800,Jio,no,0,0,0,0
1,Haryana,2100,Vodafone,no,0,0,0,0
1,Haryana,2100,Aircel,no,0,0,0,0
1,Haryana,2100,Idea,no,0,0,0,0
1,Haryana,2100, Tata Tele,no,0,0,0,0
1,Haryana,2100,RCL,no,0,0,0,0
1,Haryana,2100,Telewings,no,0,0,0,0
1,Haryana,2100,Bharti,Bid,1,230,1,1
1,Haryana,2100,Jio,no,0,0,0,0
1,Himachal Pradesh,800,Vodafone,no,0,0,0,0
1,Himachal Pradesh,800,Aircel,no,0,0,0,0
1,Himachal Pradesh,800,Idea,no,0,0,0,0
1,Himachal Pradesh,800, Tata Tele,no,0,0,0,0
1,Himachal Pradesh,800,RCL,no,0,0,0,0
1,Himachal Pradesh,800,Telewings,no,0,0,0,0
1,Himachal Pradesh,800,Bharti,Bid,4,23.75,4,1
1,Himachal Pradesh,800,Jio,no,0,0,0,0
1,Himachal Pradesh,900,Vodafone,Bid,31,5.4,0,0
1,Himachal Pradesh,900,Aircel,Bid,44,5.4,44,1
1,Himachal Pradesh,900,Idea,no,0,0,0,0
1,Himachal Pradesh,900, Tata Tele,no,0,0,0,0
1,Himachal Pradesh,900,RCL,Bid,26,5.4,0,0
1,Himachal Pradesh,900,Telewings,no,0,0,0,0
1,Himachal Pradesh,900,Bharti,Bid,36,5.4,0,0
1,Himachal Pradesh,900,Jio,Bid,25,5.4,0,0
1,Himachal Pradesh,1800,Vodafone,no,0,0,0,0
1,Himachal Pradesh,1800,Aircel,no,0,0,0,0
1,Himachal Pradesh,1800,Idea,no,0,0,0,0
1,Himachal Pradesh,1800, Tata Tele,no,0,0,0,0
1,Himachal Pradesh,1800,RCL,no,0,0,0,0
1,Himachal Pradesh,1800,Telewings,no,0,0,0,0
1,Himachal Pradesh,1800,Bharti,no,0,0,0,0
1,Himachal Pradesh,1800,Jio,no,0,0,0,0
1,Jammu & Kashmir,800,Vodafone,no,0,0,0,0
1,Jammu & Kashmir,800,Aircel,no,0,0,0,0
1,Jammu & Kashmir,800,Idea,no,0,0,0,0
1,Jammu & Kashmir,800, Tata Tele,no,0,0,0,0
1,Jammu & Kashmir,800,RCL,no,0,0,0,0
1,Jammu & Kashmir,800,Telewings,no,0,0,0,0
1,Jammu & Kashmir,800,Bharti,Bid,4,35,4,1
1,Jammu & Kashmir,800,Jio,no,0,0,0,0
1,Karnataka,800,Vodafone,no,0,0,0,0
1,Karnataka,800,Aircel,no,0,0,0,0
1,Karnataka,800,Idea,no,0,0,0,0
1,Karnataka,800, Tata Tele,no,0,0,0,0
1,Karnataka,800,RCL,no,0,0,0,0
1,Karnataka,800,Telewings,no,0,0,0,0
1,Karnataka,800,Bharti,no,0,0,0,0
1,Karnataka,800,Jio,no,0,0,0,0
1,Karnataka,900,Vodafone,Bid,31,74,31,1
1,Karnataka,900,Aircel,no,0,0,0,0
1,Karnataka,900,Idea,Bid,25,74,25,2
1,Karnataka,900, Tata Tele,no,0,0,0,0
1,Karnataka,900,RCL,no,0,0,0,0
1,Karnataka,900,Telewings,no,0,0,0,0
1,Karnataka,900,Bharti,Bid,25,74,0,0
1,Karnataka,900,Jio,no,0,0,0,0
1,Karnataka,1800,Vodafone,no,0,0,0,0
1,Karnataka,1800,Aircel,no,0,0,0,0
1,Karnataka,1800,Idea,Bid,5,37,5,1
